date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:42	136478/136478	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2003:22:12%20GMT	https://animalsaustralia.org/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/index.html	(from )
20:21:42	166/166	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2014:51:40%20GMT	https://animalsaustralia.org/robots.txt		(from )
20:21:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2014:51:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell/Desktop/barath/agri6/www.googletagmanager.com/gtm.05445.delayed	(from https://animalsaustralia.org/)
20:21:44	3422/3422	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2004:28:38%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/apple-touch-icon.png	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/apple-touch-icon.png	(from https://animalsaustralia.org/)
20:21:45	897/897	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2004:28:38%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/favicon-32x32.png	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/favicon-32x32.png	(from https://animalsaustralia.org/)
20:21:46	657/657	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2004:28:38%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/favicon-16x16.png	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/favicon-16x16.png	(from https://animalsaustralia.org/)
20:21:47	598/598	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2004:28:38%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/site.webmanifest	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/site.html	(from https://animalsaustralia.org/)
20:21:48	1392/1392	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2029%20Aug%202022%2004:28:38%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/safari-pinned-tab.svg	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/favicons/safari-pinned-tab.svg	(from https://animalsaustralia.org/)
20:21:50	64400/64400	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Oct%202022%2023:06:19%20GMT	https://animalsaustralia.org/wp-content/cache/min/1/wp-content/themes/animalsaustralia/fractal/dist/global.css?ver=1666307179	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/cache/min/1/wp-content/themes/animalsaustralia/fractal/dist/global115a.css	(from https://animalsaustralia.org/)
20:21:50	76524/76524	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Nov%202021%2020:03:00%20GMT	https://animalsaustralia.org/wp-content/plugins/wp-sentry/public/wp-sentry-browser.min.js?ver=4.10.3	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/plugins/wp-sentry/public/wp-sentry-browser.minad2c.js	(from https://animalsaustralia.org/)
20:21:52	234438/234438	---M-Z	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:51:51%20GMT	https://animalsaustralia.org/wp-json/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-json/index.html	(from https://animalsaustralia.org/)
20:21:52	9499/9499	---M-Z	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:51:51%20GMT	https://animalsaustralia.org/wp-json/wp/v2/pages/9	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-json/wp/v2/pages/9.json	(from https://animalsaustralia.org/)
20:21:53	199/199	---M--	403	error ('Forbidden')	text/html	date:Thu,%2027%20Oct%202022%2014:51:53%20GMT	https://animalsaustralia.org/xmlrpc.php?rsd	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/xmlrpc.90db0.delayed	(from https://animalsaustralia.org/)
20:21:54	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2027%20Oct%202022%2014:51:54%20GMT	https://animalsaustralia.org/wp-includes/wlwmanifest.xml	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-includes/wlwmanifest.xml	(from https://animalsaustralia.org/)
20:21:56	2733/2733	---M-Z	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2014:51:55%20GMT	https://animalsaustralia.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fanimalsaustralia.org%2F	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-json/oembed/1.0/embedd356.json	(from https://animalsaustralia.org/)
20:21:57	2856/2856	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20Oct%202022%2014:51:56%20GMT	https://animalsaustralia.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fanimalsaustralia.org%2F&format=xml	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-json/oembed/1.0/embed3e02	(from https://animalsaustralia.org/)
20:21:59	36859/36859	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Oct%202022%2002:58:45%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/fractal/dist/icons/symbols.svg	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/fractal/dist/icons/symbols.svg	(from https://animalsaustralia.org/)
20:21:59	122996/122996	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:17:18%20GMT	https://animalsaustralia.org/contact-us/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/contact-us/index.html	(from https://animalsaustralia.org/)
20:22:00	261993/261993	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2006:15:20%20GMT	https://animalsaustralia.org/faqs/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/faqs/index.html	(from https://animalsaustralia.org/)
20:22:00	13050/13050	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2029%20Aug%202022%2004:28:39%20GMT	https://animalsaustralia.org/wp-content/themes/animalsaustralia/fractal/dist/svg/aa-logo.svg	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/wp-content/themes/animalsaustralia/fractal/dist/svg/aa-logo.svg	(from https://animalsaustralia.org/)
20:22:03	99453/99453	---M-Z	302	error ('Found')	text/html	date:Thu,%2027%20Oct%202022%2014:52:00%20GMT	https://animalsaustralia.org/my-aa/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/my-aa/index.html	(from https://animalsaustralia.org/)
20:22:03	150716/150716	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:17%20GMT	https://animalsaustralia.org/take-action/donate/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/donate/index.html	(from https://animalsaustralia.org/)
20:22:03	118584/118584	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:41%20GMT	https://animalsaustralia.org/our-work/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/index.html	(from https://animalsaustralia.org/)
20:22:05	78765/78765	---M--	200	added ('OK')	image/jpeg	etag:%22a37a2343b83667b56f795081de0eb0f5%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25115312/GettyImages-1240835359-1200x600.jpg?theia_smart_thumbnails_file_version=2	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25115312/GettyImages-1240835359-1200x6000a14.jpg	(from https://animalsaustralia.org/)
20:22:06	130885/130885	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2009:14:24%20GMT	https://animalsaustralia.org/our-work/live-export/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/live-export/index.html	(from https://animalsaustralia.org/)
20:22:07	130986/130986	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2009:14:06%20GMT	https://animalsaustralia.org/our-work/farmed-animals/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/farmed-animals/index.html	(from https://animalsaustralia.org/)
20:22:07	129918/129918	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2004:23:26%20GMT	https://animalsaustralia.org/our-work/factory-farming/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/factory-farming/index.html	(from https://animalsaustralia.org/)
20:22:08	90073/90073	---M--	200	added ('OK')	image/jpeg	etag:%224ae210b616eb5d32e4b04948ff2ac0c1%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25152307/CreatingLastingChange-1200x600.jpg	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25152307/CreatingLastingChange-1200x600.jpg	(from https://animalsaustralia.org/)
20:22:09	130455/130455	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:30%20GMT	https://animalsaustralia.org/our-work/wildlife/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/wildlife/index.html	(from https://animalsaustralia.org/)
20:22:10	127678/127678	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2006:14:50%20GMT	https://animalsaustralia.org/our-work/shooting-and-hunting/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/shooting-and-hunting/index.html	(from https://animalsaustralia.org/)
20:22:10	117709/117709	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2006:13:58%20GMT	https://animalsaustralia.org/our-work/horse-racing/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/horse-racing/index.html	(from https://animalsaustralia.org/)
20:22:11	123910/123910	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:41%20GMT	https://animalsaustralia.org/our-work/greyhound-racing/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/greyhound-racing/index.html	(from https://animalsaustralia.org/)
20:22:15	130334/130334	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:46%20GMT	https://animalsaustralia.org/our-work/marine-animals/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/marine-animals/index.html	(from https://animalsaustralia.org/)
20:22:15	111151/111151	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:42%20GMT	https://animalsaustralia.org/our-work/rodeos/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/rodeos/index.html	(from https://animalsaustralia.org/)
20:22:16	122517/122517	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:43%20GMT	https://animalsaustralia.org/our-work/companion-animals/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/companion-animals/index.html	(from https://animalsaustralia.org/)
20:22:17	89640/89640	---M--	200	added ('OK')	image/jpeg	etag:%221a3d2462d9632931e56322a12d455eac%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25121341/Duck_Launch-1200x600.jpg?theia_smart_thumbnails_file_version=2	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25121341/Duck_Launch-1200x6000a14.jpg	(from https://animalsaustralia.org/)
20:22:17	115957/115957	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:15:14%20GMT	https://animalsaustralia.org/our-work/animal-testing/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/animal-testing/index.html	(from https://animalsaustralia.org/)
20:22:18	117070/117070	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:26%20GMT	https://animalsaustralia.org/our-work/zoos-and-aquariums/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/zoos-and-aquariums/index.html	(from https://animalsaustralia.org/)
20:22:19	114006/114006	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:27%20GMT	https://animalsaustralia.org/our-work/animal-circuses/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/animal-circuses/index.html	(from https://animalsaustralia.org/)
20:22:20	58494/58494	---M--	200	added ('OK')	image/jpeg	etag:%22bf504bdd20bac0758cb234a2932616e5%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25153540/Piglet-1200x600.jpg?theia_smart_thumbnails_file_version=2	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25153540/Piglet-1200x6000a14.jpg	(from https://animalsaustralia.org/)
20:22:21	129806/129806	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:15:16%20GMT	https://animalsaustralia.org/our-work/protecting-our-planet/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/protecting-our-planet/index.html	(from https://animalsaustralia.org/)
20:22:21	130547/130547	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:44%20GMT	https://animalsaustralia.org/our-work/compassionate-living/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/compassionate-living/index.html	(from https://animalsaustralia.org/)
20:22:22	130012/130012	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:56%20GMT	https://animalsaustralia.org/our-work/inspiring-stories/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/inspiring-stories/index.html	(from https://animalsaustralia.org/)
20:22:23	83895/83895	---M--	200	added ('OK')	image/jpeg	etag:%2299709a27acbdaee137a532ecd1aee138%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25152312/LayerHens_Australia_JMcArthur_2013-4255-1200x600.jpg	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25152312/LayerHens_Australia_JMcArthur_2013-4255-1200x600.jpg	(from https://animalsaustralia.org/)
20:22:23	129202/129202	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:49%20GMT	https://animalsaustralia.org/our-work/global-work/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/global-work/index.html	(from https://animalsaustralia.org/)
20:22:23	120397/120397	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:33%20GMT	https://animalsaustralia.org/our-work/emergency-grants-program/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/emergency-grants-program/index.html	(from https://animalsaustralia.org/)
20:22:25	125424/125424	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:14:11%20GMT	https://animalsaustralia.org/our-work/government-and-policy/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/our-work/government-and-policy/index.html	(from https://animalsaustralia.org/)
20:22:25	173465/173465	---M--	200	added ('OK')	image/jpeg	etag:%223eb990e256424f0fadae0b0d3f0aa7ad%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25133812/AA_VegKit_BuddhaBowl_16814-1200x600.jpg	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25133812/AA_VegKit_BuddhaBowl_16814-1200x600.jpg	(from https://animalsaustralia.org/)
20:22:26	107532/107532	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:12%20GMT	https://animalsaustralia.org/take-action/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/index.html	(from https://animalsaustralia.org/)
20:22:26	145886/145886	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:14%20GMT	https://animalsaustralia.org/take-action/become-a-member/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/become-a-member/index.html	(from https://animalsaustralia.org/)
20:22:27	118141/118141	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2003:23:38%20GMT	https://animalsaustralia.org/take-action/campaigns-and-investigations/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/campaigns-and-investigations/index.html	(from https://animalsaustralia.org/)
20:22:27	130849/130849	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:10%20GMT	https://animalsaustralia.org/take-action/petitions-and-pledges/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/petitions-and-pledges/index.html	(from https://animalsaustralia.org/)
20:22:29	164851/164851	---M--	200	added ('OK')	image/jpeg	etag:%229d7036a32be1605ffa9ae1ad3ebc8484%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/25105149/jorge-lazaro-493460-unsplash-1200x600.jpg	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/25105149/jorge-lazaro-493460-unsplash-1200x600.jpg	(from https://animalsaustralia.org/)
20:22:29	127110/127110	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:17%20GMT	https://animalsaustralia.org/take-action/plant-based-living/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/plant-based-living/index.html	(from https://animalsaustralia.org/)
20:22:30	113959/113959	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:13:13%20GMT	https://animalsaustralia.org/take-action/bequests/	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/take-action/bequests/index.html	(from https://animalsaustralia.org/)
20:22:30	423649/423649	---M--	200	added ('OK')	image/png	etag:%221f34727ccb1b178e3582099813da19a0%22	https://cdn.animalsaustralia.org/wp-content/uploads/2021/11/29134651/2020_Somewhere_FlyingPig-1200x600.png	C:/Users/dell/Desktop/barath/agri6/cdn.animalsaustralia.org/wp-content/uploads/2021/11/29134651/2020_Somewhere_FlyingPig-1200x600.png	(from https://animalsaustralia.org/)
20:22:31	118508/118508	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2005:12:58%20GMT	https://animalsaustralia.org/latest-news	C:/Users/dell/Desktop/barath/agri6/animalsaustralia.org/latest-news.html	(from https://animalsaustralia.org/)
